,state,school
77,Niger,FSTC SHIRORO (BOYS & GIRLS)
79,Plateau,FGC JOS (BOYS & GIRLS)
80,Plateau,FGGC LANGTANG (GIRLS ONLY)
82,Fct,FGC KWALI (BOYS & GIRLS)
83,Fct,FGGC BWARI (GIRLS ONLY)
84,Fct,FGGC ABAJI (GIRLS ONLY)
85,Fct,FGBC GARKI (BOYS ONLY)
86,Fct,FGC RUBOCHI (BOYS & GIRLS)
87,Fct,FSTC OROZO (BOYS & GIRLS)
89,Nasarawa,FGC KEFFI (BOYS &GIRLS)
90,Nasarawa,FGGC KEANA (GIRLS ONLY)
91,Nasarawa,FSTC DOMA (BOYS & GIRLS)
93,Lagos,KING’S COLLEGE LAGOS (BOYS ONLY)
94,Lagos,FGC LAGOS (BOYS & GIRLS)
95,Lagos,QUEEN’S COLLEGE LAGOS (GIRLS ONLY)
96,Lagos,FSTC YABA (BOYS & GIRLS)
98,Ogun,FGC ODOGBOLU (BOYS & GIRLS)
99,Ogun,FGGC SHAGAMU (GIRLS ONLY)
100,Ogun,FSTC IJEBU MUSHIN (BOYS & GIRLS)
102,Ondo,FGC IDOANI (BOYS & GIRLS)
103,Ondo,FGGC AKURE (GIRLS ONLY)
104,Ondo,FSTC IKARE-AKOKO (BOYS & GIRLS)
106,Osun,FGC IKIRUN (BOYS & GIRLS)
107,Osun,FGGC IPETUMODU (GIRLS ONLY)
108,Osun,FSTC ILESA (BOYS & GIRLS)
110,Oyo,FGC OGBOMOSO (BOYS & GIRLS)
111,Oyo,FGGC OYO (GIRLS ONLY)
112,Oyo,FSTC IGANGAN (BOYS & GIRLS)
114,Ekiti,FGC IKOLE-EKITI (BOYS & GIRLS)
115,Ekiti,FGGC EFON-ALAYE (GIRLS ONLY)
116,Ekiti,FSTC USI-EKITI (BOYS & GIRLS)
118,Jigawa,FGC KIYAWA (BOYS & GIRLS)
119,Jigawa,FGGC KAZAURE (GIRLS ONLY)
120,Jigawa,FSTC MALLAM MADORI-BIRNIWA (BOYS & GIRLS)
122,Kaduna,FGC KADUNA (BOYS & GIRLS)
123,Kaduna,FGGC ZARIA (GIRLS ONLY)
124,Kaduna,FSTC KAFANCHAN (BOYS & GIRLS)
126,Kano,FGC KANO (BOYS & GIRLS)
127,Kano,FGGC MIN-JIBIR (GIRLS ONLY)
128,Kano,FSTC GANDUJE (BOYS & GIRLS)
130,Katsina,FGC DAURA (BOYS & GIRLS)
131,Katsina,FGGC BAKORI (GIRLS ONLY)
132,Katsina,FSTC DAYI (BOYS & GIRLS)
134,Kebbi,FGC BIRNIN-YAURI (BOYS & GIRLS)
135,Kebbi,FGGC GWANDU (GIRLS ONLY)
136,Kebbi,FSTC ZURU (BOYS & GIRLS)
138,Sokoto,FGC SOKOTO (BOYS & GIRLS)
139,Sokoto,FGGC TAMBUWAL (GIRLS ONLY)
141,Zamfara,FGGC GUSAU (GIRLS ONLY)
142,Zamfara,FGC ANKA (BOYS & GIRLS)
